"","PC1","PC2","group","name","condition","sizeFactor"
"H1",-13.5090264426792,0.886055199883984,"High","H1","High",1.02934483514451
"H2",-14.7715543206289,0.280755991828848,"High","H2","High",0.933159488520652
"H3",-13.6664801926452,1.11199470129284,"High","H3","High",0.967128601039561
"M1",11.0349196044566,1.49465055573403,"Medium","M1","Medium",1.00467485267184
"M2",11.4623939397046,1.65238902158912,"Medium","M2","Medium",1.00572620476501
"M3",9.94448719543939,1.85416349272676,"Medium","M3","Medium",1.00468289983145
"N1",4.88562808388856,-2.14756202503072,"Normal","N1","Normal",1.03631433422828
"N2",-0.348353315608548,-2.52649858673362,"Normal","N2","Normal",1.03231188107352
"N3",4.96798544807273,-2.60594835129125,"Normal","N3","Normal",1.03132895675619
